day,hour,charge,discharge,grid_sell
1,1,0.0,0.0,0.0
1,2,0.0,0.0,0.0
1,3,0.0,0.0,0.0
1,4,0.0,0.0,0.0
1,5,0.0,0.0,0.0
1,6,0.0,0.0,0.0
1,7,0.0,0.0,0.0
1,8,0.0,0.01,0.36
1,9,0.0,0.0,1.13
1,10,0.0,0.0,1.58
1,11,1.97,0.0,0.0
1,12,2.82,0.0,0.0
1,13,2.36,0.0,0.0
1,14,1.97,0.0,0.0
1,15,1.82,0.0,0.0
1,16,0.95,0.0,0.0
1,17,0.0,0.0,0.16
1,18,0.0,1.16,1.16
1,19,0.0,3.82,3.82
1,20,0.0,1.09,1.09
1,21,0.0,1.15,1.15
1,22,0.0,1.17,1.17
1,23,0.0,1.12,1.12
1,24,0.0,1.22,1.22
2,1,0.0,0.0,0.0
2,2,0.0,0.0,0.0
2,3,0.0,0.0,0.0
2,4,0.0,0.0,0.0
2,5,0.0,0.0,0.0
2,6,0.0,0.0,0.0
2,7,0.0,0.0,0.0
2,8,0.0,0.0,0.35
2,9,0.0,0.0,0.95
2,10,0.53,0.0,1.05
2,11,0.42,0.0,1.16
2,12,1.16,0.0,1.23
2,13,0.57,0.0,1.26
2,14,1.82,0.0,0.0
2,15,1.82,0.0,0.0
2,16,0.95,0.0,0.0
2,17,0.0,0.0,0.16
2,18,0.0,0.93,0.93
2,19,0.0,0.93,0.93
2,20,0.0,0.94,0.94
2,21,0.0,0.94,0.94
2,22,0.0,0.94,0.94
2,23,0.0,0.93,0.93
2,24,0.0,0.95,0.96
3,1,0.0,0.0,0.0
3,2,0.0,0.0,0.0
3,3,0.0,0.0,0.0
3,4,0.0,0.0,0.0
3,5,0.0,0.0,0.0
3,6,0.0,0.0,0.0
3,7,0.0,0.0,0.0
3,8,0.0,0.0,0.35
3,9,0.0,0.0,1.4
3,10,1.97,0.0,0.0
3,11,2.36,0.0,0.0
3,12,2.82,0.0,0.0
3,13,2.82,0.0,0.0
3,14,1.82,0.0,0.0
3,15,1.82,0.0,0.0
3,16,0.95,0.0,0.0
3,17,0.16,0.0,0.0
3,18,0.0,1.9,1.9
3,19,0.0,1.87,1.87
3,20,0.0,1.88,1.88
3,21,0.0,1.92,1.92
3,22,0.0,1.91,1.91
3,23,0.0,1.9,1.9
3,24,0.0,1.9,1.9
4,1,0.0,0.0,0.0
4,2,0.0,0.0,0.0
4,3,0.0,0.0,0.0
4,4,0.0,0.0,0.0
4,5,0.0,0.0,0.0
4,6,0.0,0.0,0.0
4,7,0.0,0.0,0.0
4,8,0.0,0.0,0.35
4,9,0.0,0.0,0.95
4,10,0.0,0.0,1.16
4,11,0.0,0.0,1.97
4,12,2.82,0.0,0.0
4,13,2.82,0.0,0.0
4,14,2.36,0.0,0.0
4,15,1.82,0.0,0.0
4,16,0.95,0.0,0.0
4,17,0.16,0.0,0.0
4,18,0.0,1.41,1.41
4,19,0.0,1.38,1.38
4,20,0.0,1.39,1.39
4,21,0.0,1.4,1.4
4,22,0.0,1.41,1.41
4,23,0.0,1.42,1.42
4,24,0.0,1.46,1.46
5,1,0.0,0.0,0.0
5,2,0.0,0.0,0.0
5,3,0.0,0.0,0.0
5,4,0.0,0.0,0.0
5,5,0.0,0.0,0.0
5,6,0.0,0.0,0.0
5,7,0.0,0.0,0.0
5,8,0.0,0.0,0.35
5,9,0.0,0.0,1.13
5,10,0.56,0.0,1.26
5,11,0.42,0.0,1.4
5,12,0.96,0.0,1.44
5,13,1.82,0.0,0.0
5,14,1.82,0.0,0.0
5,15,1.75,0.0,0.0
5,16,0.62,0.0,0.33
5,17,0.0,0.0,0.16
5,18,0.0,1.03,1.03
5,19,0.0,1.02,1.02
5,20,0.0,1.02,1.02
5,21,0.0,1.02,1.02
5,22,0.0,1.02,1.02
5,23,0.0,1.02,1.02
5,24,0.0,1.04,1.04
6,1,0.0,0.0,0.0
6,2,0.0,0.0,0.0
6,3,0.0,0.0,0.0
6,4,0.0,0.0,0.0
6,5,0.0,0.0,0.0
6,6,0.0,0.0,0.0
6,7,0.0,0.0,0.0
6,8,0.0,0.0,0.35
6,9,0.0,0.0,1.13
6,10,1.58,0.0,0.0
6,11,1.97,0.0,0.0
6,12,2.82,0.0,0.0
6,13,2.82,0.0,0.0
6,14,1.97,0.0,0.0
6,15,1.82,0.0,0.0
6,16,0.95,0.0,0.0
6,17,0.0,0.0,0.16
6,18,0.0,1.81,1.81
6,19,0.0,1.71,1.71
6,20,0.0,1.79,1.79
6,21,0.0,1.81,1.81
6,22,0.0,1.8,1.81
6,23,0.0,1.82,1.82
6,24,0.0,1.83,1.83
7,1,0.0,0.0,0.0
7,2,0.0,0.0,0.0
7,3,0.0,0.0,0.0
7,4,0.0,0.0,0.0
7,5,0.0,0.0,0.0
7,6,0.0,0.0,0.0
7,7,0.0,0.0,0.0
7,8,0.0,0.0,0.35
7,9,0.0,0.0,1.13
7,10,1.97,0.0,0.0
7,11,2.36,0.0,0.0
7,12,2.82,0.0,0.0
7,13,2.82,0.0,0.0
7,14,2.36,0.0,0.0
7,15,1.82,0.0,0.0
7,16,0.95,0.0,0.0
7,17,0.16,0.0,0.0
7,18,0.0,1.98,1.98
7,19,0.0,1.94,1.94
7,20,0.0,1.95,1.95
7,21,0.0,1.96,1.96
7,22,0.0,1.96,1.96
7,23,0.0,1.97,1.97
7,24,0.0,2.01,2.01
