day,hour,charge,discharge,grid_sell
1,1,0.0,0.0,0.0
1,2,0.0,0.0,0.0
1,3,0.0,0.0,0.0
1,4,0.0,0.0,0.0
1,5,0.0,0.0,0.0
1,6,0.0,0.0,0.0
1,7,0.0,0.0,0.0
1,8,0.0,0.0,0.35
1,9,0.0,0.0,1.13
1,10,1.58,0.0,0.0
1,11,1.97,0.0,0.0
1,12,2.82,0.0,0.0
1,13,2.36,0.0,0.0
1,14,1.97,0.0,0.0
1,15,1.82,0.0,0.0
1,16,0.95,0.0,0.0
1,17,0.16,0.0,0.0
1,18,0.0,1.01,1.01
1,19,0.0,4.0,4.0
1,20,0.0,2.94,2.94
1,21,0.0,1.24,1.25
1,22,0.0,0.87,0.87
1,23,0.0,2.25,2.25
1,24,0.0,0.0,0.0
2,1,0.0,0.0,0.0
2,2,0.0,0.0,0.0
2,3,0.0,0.0,0.0
2,4,0.0,0.0,0.0
2,5,0.0,0.0,0.0
2,6,0.0,0.0,0.0
2,7,0.0,0.0,0.0
2,8,0.0,0.0,0.35
2,9,0.0,0.0,0.95
2,10,0.0,0.0,1.58
2,11,0.44,0.0,1.14
2,12,2.04,0.0,0.36
2,13,1.69,0.0,0.13
2,14,1.82,0.0,0.0
2,15,1.82,0.0,0.0
2,16,0.95,0.0,0.0
2,17,0.0,0.0,0.16
2,18,0.0,1.22,1.22
2,19,0.0,1.32,1.32
2,20,0.0,1.13,1.13
2,21,0.0,1.09,1.09
2,22,0.0,1.1,1.11
2,23,0.0,1.21,1.21
2,24,0.0,0.83,0.83
3,1,0.0,0.0,0.0
3,2,0.0,0.0,0.0
3,3,0.0,0.0,0.0
3,4,0.0,0.0,0.0
3,5,0.0,0.0,0.0
3,6,0.0,0.0,0.0
3,7,0.0,0.0,0.0
3,8,0.0,0.0,0.35
3,9,0.0,0.0,1.4
3,10,1.97,0.0,0.0
3,11,2.36,0.0,0.0
3,12,2.82,0.0,0.0
3,13,2.82,0.0,0.0
3,14,1.82,0.0,0.0
3,15,1.82,0.0,0.0
3,16,0.95,0.0,0.0
3,17,0.16,0.0,0.0
3,18,0.0,1.82,1.82
3,19,0.0,2.29,2.29
3,20,0.0,2.07,2.07
3,21,0.0,1.66,1.67
3,22,0.0,1.71,1.71
3,23,0.0,1.9,1.9
3,24,0.0,1.83,1.83
4,1,0.0,0.0,0.0
4,2,0.0,0.0,0.0
4,3,0.0,0.0,0.0
4,4,0.0,0.0,0.0
4,5,0.0,0.0,0.0
4,6,0.0,0.0,0.0
4,7,0.0,0.0,0.0
4,8,0.0,0.0,0.35
4,9,0.0,0.0,0.95
4,10,0.0,0.0,1.16
4,11,1.97,0.0,0.0
4,12,2.82,0.0,0.0
4,13,2.82,0.0,0.0
4,14,2.36,0.0,0.0
4,15,1.82,0.0,0.0
4,16,0.95,0.0,0.0
4,17,0.16,0.0,0.0
4,18,0.0,1.65,1.66
4,19,0.0,2.1,2.1
4,20,0.0,2.0,2.0
4,21,0.0,1.86,1.86
4,22,0.0,1.68,1.68
4,23,0.0,1.49,1.49
4,24,0.0,0.86,0.86
5,1,0.0,0.0,0.0
5,2,0.0,0.0,0.0
5,3,0.0,0.0,0.0
5,4,0.0,0.0,0.0
5,5,0.0,0.0,0.0
5,6,0.0,0.0,0.0
5,7,0.0,0.0,0.0
5,8,0.0,0.0,0.35
5,9,0.0,0.0,1.13
5,10,0.25,0.0,1.58
5,11,1.62,0.0,0.21
5,12,2.39,0.0,0.0
5,13,1.82,0.0,0.0
5,14,1.82,0.0,0.0
5,15,1.75,0.0,0.0
5,16,0.95,0.0,0.0
5,17,0.0,0.0,0.16
5,18,0.0,1.33,1.33
5,19,0.0,1.39,1.39
5,20,0.0,1.43,1.43
5,21,0.0,1.39,1.39
5,22,0.0,1.46,1.47
5,23,0.0,1.41,1.42
5,24,0.0,1.14,1.14
6,1,0.0,0.0,0.0
6,2,0.0,0.0,0.0
6,3,0.0,0.0,0.0
6,4,0.0,0.0,0.0
6,5,0.0,0.0,0.0
6,6,0.0,0.0,0.0
6,7,0.0,0.0,0.0
6,8,0.0,0.0,0.35
6,9,0.0,0.0,1.13
6,10,1.58,0.0,0.0
6,11,1.97,0.0,0.0
6,12,2.82,0.0,0.0
6,13,2.82,0.0,0.0
6,14,1.97,0.0,0.0
6,15,1.82,0.0,0.0
6,16,0.95,0.0,0.0
6,17,0.0,0.0,0.16
6,18,0.0,1.64,1.64
6,19,0.0,2.74,2.74
6,20,0.0,1.84,1.84
6,21,0.0,1.67,1.67
6,22,0.0,1.68,1.68
6,23,0.0,1.58,1.58
6,24,0.0,1.41,1.41
7,1,0.0,0.0,0.0
7,2,0.0,0.0,0.0
7,3,0.0,0.0,0.0
7,4,0.0,0.0,0.0
7,5,0.0,0.0,0.0
7,6,0.0,0.0,0.0
7,7,0.0,0.0,0.0
7,8,0.0,0.0,0.35
7,9,0.0,0.0,1.13
7,10,1.97,0.0,0.0
7,11,2.36,0.0,0.0
7,12,2.82,0.0,0.0
7,13,2.82,0.0,0.0
7,14,2.36,0.0,0.0
7,15,1.82,0.0,0.0
7,16,0.95,0.0,0.0
7,17,0.16,0.0,0.0
7,18,0.0,1.86,1.87
7,19,0.0,2.25,2.25
7,20,0.0,2.12,2.12
7,21,0.0,2.06,2.06
7,22,0.0,2.03,2.03
7,23,0.0,1.94,1.94
7,24,0.0,1.5,1.51
