day,hour,charge,discharge,grid_sell
1,1,0.0,0.0,0.0
1,2,0.0,0.0,0.0
1,3,0.0,0.0,0.0
1,4,0.0,0.0,0.0
1,5,0.0,0.0,0.0
1,6,0.0,0.0,0.0
1,7,0.0,0.0,0.0
1,8,0.0,0.0,0.28
1,9,0.0,0.0,0.91
1,10,1.27,0.0,0.0
1,11,1.58,0.0,0.0
1,12,2.25,0.0,0.0
1,13,1.89,0.0,0.0
1,14,1.58,0.0,0.0
1,15,1.46,0.0,0.0
1,16,0.76,0.0,0.0
1,17,0.13,0.0,0.0
1,18,0.0,0.0,0.0
1,19,0.0,5.0,5.0
1,20,0.0,4.85,4.85
1,21,0.0,0.0,0.0
1,22,0.0,0.0,0.0
1,23,0.0,0.0,0.0
1,24,0.0,0.0,0.0
2,1,0.0,0.0,0.0
2,2,0.0,0.0,0.0
2,3,0.0,0.0,0.0
2,4,0.0,0.0,0.0
2,5,0.0,0.0,0.0
2,6,0.0,0.0,0.0
2,7,0.0,0.0,0.0
2,8,0.0,0.0,0.28
2,9,0.0,0.0,0.76
2,10,0.0,0.0,1.27
2,11,0.0,0.0,1.27
2,12,1.92,0.0,0.0
2,13,1.46,0.0,0.0
2,14,1.46,0.0,0.0
2,15,1.46,0.0,0.0
2,16,0.76,0.0,0.0
2,17,0.13,0.0,0.0
2,18,0.0,1.47,1.47
2,19,0.0,5.0,5.0
2,20,0.0,0.0,0.0
2,21,0.0,0.0,0.0
2,22,0.0,0.0,0.0
2,23,0.0,0.0,0.0
2,24,0.0,0.0,0.0
3,1,0.0,0.0,0.0
3,2,0.0,0.0,0.0
3,3,0.0,0.0,0.0
3,4,0.0,0.0,0.0
3,5,0.0,0.0,0.0
3,6,0.0,0.0,0.0
3,7,0.0,0.0,0.0
3,8,0.0,0.0,0.28
3,9,0.0,0.0,1.12
3,10,1.58,0.0,0.0
3,11,1.89,0.0,0.0
3,12,2.25,0.0,0.0
3,13,2.25,0.0,0.0
3,14,1.46,0.0,0.0
3,15,1.46,0.0,0.0
3,16,0.76,0.0,0.0
3,17,0.13,0.0,0.0
3,18,0.0,0.0,0.0
3,19,0.0,5.0,5.0
3,20,0.0,5.0,5.0
3,21,0.0,0.0,0.0
3,22,0.0,0.0,0.0
3,23,0.0,0.62,0.63
3,24,0.0,0.0,0.0
4,1,0.0,0.0,0.0
4,2,0.0,0.0,0.0
4,3,0.0,0.0,0.0
4,4,0.0,0.0,0.0
4,5,0.0,0.0,0.0
4,6,0.0,0.0,0.0
4,7,0.0,0.0,0.0
4,8,0.0,0.0,0.28
4,9,0.0,0.0,0.76
4,10,0.0,0.0,0.93
4,11,1.58,0.0,0.0
4,12,2.25,0.0,0.0
4,13,2.25,0.0,0.0
4,14,1.89,0.0,0.0
4,15,1.46,0.0,0.0
4,16,0.76,0.0,0.0
4,17,0.13,0.0,0.0
4,18,0.0,0.0,0.0
4,19,0.0,5.0,5.0
4,20,0.0,4.31,4.31
4,21,0.0,0.0,0.0
4,22,0.0,0.0,0.0
4,23,0.0,0.0,0.0
4,24,0.0,0.0,0.0
5,1,0.0,0.0,0.0
5,2,0.0,0.0,0.0
5,3,0.0,0.0,0.0
5,4,0.0,0.0,0.0
5,5,0.0,0.0,0.0
5,6,0.0,0.0,0.0
5,7,0.0,0.0,0.0
5,8,0.0,0.0,0.28
5,9,0.0,0.0,0.91
5,10,0.0,0.0,1.46
5,11,1.46,0.0,0.0
5,12,1.92,0.0,0.0
5,13,1.46,0.0,0.0
5,14,1.46,0.0,0.0
5,15,1.4,0.0,0.0
5,16,0.76,0.0,0.0
5,17,0.13,0.0,0.0
5,18,0.0,0.0,0.0
5,19,0.0,0.0,0.0
5,20,0.0,2.73,2.73
5,21,0.0,0.0,0.0
5,22,0.0,5.0,5.0
5,23,0.0,0.0,0.0
5,24,0.0,0.0,0.0
6,1,0.0,0.0,0.0
6,2,0.0,0.0,0.0
6,3,0.0,0.0,0.0
6,4,0.0,0.0,0.0
6,5,0.0,0.0,0.0
6,6,0.0,0.0,0.0
6,7,0.0,0.0,0.0
6,8,0.0,0.0,0.28
6,9,0.0,0.0,0.91
6,10,1.27,0.0,0.0
6,11,1.58,0.0,0.0
6,12,2.25,0.0,0.0
6,13,2.25,0.0,0.0
6,14,1.58,0.0,0.0
6,15,1.46,0.0,0.0
6,16,0.76,0.0,0.0
6,17,0.13,0.0,0.0
6,18,0.0,0.0,0.0
6,19,0.0,5.0,5.0
6,20,0.0,5.0,5.0
6,21,0.0,0.0,0.0
6,22,0.0,0.17,0.17
6,23,0.0,0.0,0.0
6,24,0.0,0.0,0.0
7,1,0.0,0.0,0.0
7,2,0.0,0.0,0.0
7,3,0.0,0.0,0.0
7,4,0.0,0.0,0.0
7,5,0.0,0.0,0.0
7,6,0.0,0.0,0.0
7,7,0.0,0.0,0.0
7,8,0.0,0.0,0.28
7,9,0.0,0.0,0.91
7,10,1.58,0.0,0.0
7,11,1.89,0.0,0.0
7,12,2.25,0.0,0.0
7,13,2.25,0.0,0.0
7,14,1.89,0.0,0.0
7,15,1.46,0.0,0.0
7,16,0.76,0.0,0.0
7,17,0.13,0.0,0.0
7,18,0.0,0.0,0.0
7,19,0.0,5.0,5.0
7,20,0.0,5.0,5.0
7,21,0.0,1.01,1.01
7,22,0.0,0.0,0.0
7,23,0.0,0.0,0.0
7,24,0.0,0.0,0.0
