action_block,start_time,end_time,action,avg_charge,avg_discharge,soc_start,soc_end,soc_pct_start,soc_pct_end,MW_instruction,SOC_instruction
1,2024-12-23 00:00,2024-12-23 06:00,HOLD,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-23 00:00 to 2024-12-23 06:00 → HOLD at ~0.0 MW,From 2024-12-23 00:00 → SoC 0.0% → 0.0% during HOLD
2,2024-12-23 07:00,2024-12-23 08:00,SELL,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-23 07:00 to 2024-12-23 08:00 → SELL at ~0.0 MW,From 2024-12-23 07:00 → SoC 0.0% → 0.0% during SELL
3,2024-12-23 09:00,2024-12-23 16:00,CHARGE,1.7,0.0,0.0,12.95,0.0,64.7,From 2024-12-23 09:00 to 2024-12-23 16:00 → CHARGE at ~1.7 MW,From 2024-12-23 09:00 → SoC 0.0% → 64.7% during CHARGE
4,2024-12-23 17:00,2024-12-23 17:00,HOLD,0.0,0.0,12.95,12.95,64.7,64.7,From 2024-12-23 17:00 to 2024-12-23 17:00 → HOLD at ~0.0 MW,From 2024-12-23 17:00 → SoC 64.7% → 64.7% during HOLD
5,2024-12-23 18:00,2024-12-23 19:00,DISCHARGE,0.0,5.0,12.95,2.42,64.7,12.1,From 2024-12-23 18:00 to 2024-12-23 19:00 → DISCHARGE at ~5.0 MW,From 2024-12-23 18:00 → SoC 64.7% → 12.1% during DISCHARGE
6,2024-12-23 20:00,2024-12-23 21:00,HOLD,0.0,0.0,2.42,2.42,12.1,12.1,From 2024-12-23 20:00 to 2024-12-23 21:00 → HOLD at ~0.0 MW,From 2024-12-23 20:00 → SoC 12.1% → 12.1% during HOLD
7,2024-12-23 22:00,2024-12-23 22:00,DISCHARGE,0.0,2.31,2.42,0.0,12.1,0.0,From 2024-12-23 22:00 to 2024-12-23 22:00 → DISCHARGE at ~2.31 MW,From 2024-12-23 22:00 → SoC 12.1% → 0.0% during DISCHARGE
8,2024-12-23 23:00,2024-12-24 06:00,HOLD,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-23 23:00 to 2024-12-24 06:00 → HOLD at ~0.0 MW,From 2024-12-23 23:00 → SoC 0.0% → 0.0% during HOLD
9,2024-12-24 07:00,2024-12-24 10:00,SELL,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-24 07:00 to 2024-12-24 10:00 → SELL at ~0.0 MW,From 2024-12-24 07:00 → SoC 0.0% → 0.0% during SELL
10,2024-12-24 11:00,2024-12-24 16:00,CHARGE,1.49,0.0,0.0,8.51,0.0,42.6,From 2024-12-24 11:00 to 2024-12-24 16:00 → CHARGE at ~1.49 MW,From 2024-12-24 11:00 → SoC 0.0% → 42.6% during CHARGE
