action_block,start_time,end_time,action,avg_charge,avg_discharge,soc_start,soc_end,soc_pct_start,soc_pct_end,MW_instruction,SOC_instruction
1,2024-12-23 00:00,2024-12-23 06:00,HOLD,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-23 00:00 to 2024-12-23 06:00 → HOLD at ~0.0 MW,From 2024-12-23 00:00 → SoC 0.0% → 0.0% during HOLD
2,2024-12-23 07:00,2024-12-23 09:00,SELL,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-23 07:00 to 2024-12-23 09:00 → SELL at ~0.0 MW,From 2024-12-23 07:00 → SoC 0.0% → 0.0% during SELL
3,2024-12-23 10:00,2024-12-23 15:00,CHARGE,1.98,0.0,0.0,11.3,0.0,56.5,From 2024-12-23 10:00 to 2024-12-23 15:00 → CHARGE at ~1.98 MW,From 2024-12-23 10:00 → SoC 0.0% → 56.5% during CHARGE
4,2024-12-23 16:00,2024-12-23 16:00,SELL,0.0,0.0,11.3,11.3,56.5,56.5,From 2024-12-23 16:00 to 2024-12-23 16:00 → SELL at ~0.0 MW,From 2024-12-23 16:00 → SoC 56.5% → 56.5% during SELL
5,2024-12-23 17:00,2024-12-23 23:00,DISCHARGE,0.0,1.53,11.3,0.0,56.5,0.0,From 2024-12-23 17:00 to 2024-12-23 23:00 → DISCHARGE at ~1.53 MW,From 2024-12-23 17:00 → SoC 56.5% → 0.0% during DISCHARGE
6,2024-12-24 00:00,2024-12-24 06:00,HOLD,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-24 00:00 to 2024-12-24 06:00 → HOLD at ~0.0 MW,From 2024-12-24 00:00 → SoC 0.0% → 0.0% during HOLD
7,2024-12-24 07:00,2024-12-24 08:00,SELL,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-24 07:00 to 2024-12-24 08:00 → SELL at ~0.0 MW,From 2024-12-24 07:00 → SoC 0.0% → 0.0% during SELL
8,2024-12-24 09:00,2024-12-24 15:00,CHARGE,1.04,0.0,0.0,6.91,0.0,34.5,From 2024-12-24 09:00 to 2024-12-24 15:00 → CHARGE at ~1.04 MW,From 2024-12-24 09:00 → SoC 0.0% → 34.5% during CHARGE
9,2024-12-24 16:00,2024-12-24 16:00,SELL,0.0,0.0,6.91,6.91,34.5,34.5,From 2024-12-24 16:00 to 2024-12-24 16:00 → SELL at ~0.0 MW,From 2024-12-24 16:00 → SoC 34.5% → 34.5% during SELL
10,2024-12-24 17:00,2024-12-24 23:00,DISCHARGE,0.0,0.94,6.91,0.0,34.5,0.0,From 2024-12-24 17:00 to 2024-12-24 23:00 → DISCHARGE at ~0.94 MW,From 2024-12-24 17:00 → SoC 34.5% → 0.0% during DISCHARGE
11,2024-12-25 00:00,2024-12-25 06:00,HOLD,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-25 00:00 to 2024-12-25 06:00 → HOLD at ~0.0 MW,From 2024-12-25 00:00 → SoC 0.0% → 0.0% during HOLD
12,2024-12-25 07:00,2024-12-25 08:00,SELL,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-25 07:00 to 2024-12-25 08:00 → SELL at ~0.0 MW,From 2024-12-25 07:00 → SoC 0.0% → 0.0% during SELL
13,2024-12-25 09:00,2024-12-25 16:00,CHARGE,1.84,0.0,0.0,13.99,0.0,69.9,From 2024-12-25 09:00 to 2024-12-25 16:00 → CHARGE at ~1.84 MW,From 2024-12-25 09:00 → SoC 0.0% → 69.9% during CHARGE
14,2024-12-25 17:00,2024-12-25 23:00,DISCHARGE,0.0,1.9,13.99,0.01,69.9,0.0,From 2024-12-25 17:00 to 2024-12-25 23:00 → DISCHARGE at ~1.9 MW,From 2024-12-25 17:00 → SoC 69.9% → 0.0% during DISCHARGE
15,2024-12-26 00:00,2024-12-26 06:00,HOLD,0.0,0.0,0.01,0.01,0.0,0.0,From 2024-12-26 00:00 to 2024-12-26 06:00 → HOLD at ~0.0 MW,From 2024-12-26 00:00 → SoC 0.0% → 0.0% during HOLD
16,2024-12-26 07:00,2024-12-26 10:00,SELL,0.0,0.0,0.01,0.01,0.0,0.0,From 2024-12-26 07:00 to 2024-12-26 10:00 → SELL at ~0.0 MW,From 2024-12-26 07:00 → SoC 0.0% → 0.0% during SELL
17,2024-12-26 11:00,2024-12-26 16:00,CHARGE,1.82,0.0,0.01,10.39,0.0,52.0,From 2024-12-26 11:00 to 2024-12-26 16:00 → CHARGE at ~1.82 MW,From 2024-12-26 11:00 → SoC 0.0% → 52.0% during CHARGE
18,2024-12-26 17:00,2024-12-26 23:00,DISCHARGE,0.0,1.41,10.39,0.0,52.0,0.0,From 2024-12-26 17:00 to 2024-12-26 23:00 → DISCHARGE at ~1.41 MW,From 2024-12-26 17:00 → SoC 52.0% → 0.0% during DISCHARGE
19,2024-12-27 00:00,2024-12-27 06:00,HOLD,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-27 00:00 to 2024-12-27 06:00 → HOLD at ~0.0 MW,From 2024-12-27 00:00 → SoC 0.0% → 0.0% during HOLD
20,2024-12-27 07:00,2024-12-27 08:00,SELL,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-27 07:00 to 2024-12-27 08:00 → SELL at ~0.0 MW,From 2024-12-27 07:00 → SoC 0.0% → 0.0% during SELL
21,2024-12-27 09:00,2024-12-27 15:00,CHARGE,1.14,0.0,0.0,7.55,0.0,37.8,From 2024-12-27 09:00 to 2024-12-27 15:00 → CHARGE at ~1.14 MW,From 2024-12-27 09:00 → SoC 0.0% → 37.8% during CHARGE
22,2024-12-27 16:00,2024-12-27 16:00,SELL,0.0,0.0,7.55,7.55,37.8,37.8,From 2024-12-27 16:00 to 2024-12-27 16:00 → SELL at ~0.0 MW,From 2024-12-27 16:00 → SoC 37.8% → 37.8% during SELL
23,2024-12-27 17:00,2024-12-27 23:00,DISCHARGE,0.0,1.02,7.55,0.01,37.8,0.0,From 2024-12-27 17:00 to 2024-12-27 23:00 → DISCHARGE at ~1.02 MW,From 2024-12-27 17:00 → SoC 37.8% → 0.0% during DISCHARGE
24,2024-12-28 00:00,2024-12-28 06:00,HOLD,0.0,0.0,0.01,0.01,0.0,0.0,From 2024-12-28 00:00 to 2024-12-28 06:00 → HOLD at ~0.0 MW,From 2024-12-28 00:00 → SoC 0.0% → 0.0% during HOLD
25,2024-12-28 07:00,2024-12-28 08:00,SELL,0.0,0.0,0.01,0.01,0.0,0.0,From 2024-12-28 07:00 to 2024-12-28 08:00 → SELL at ~0.0 MW,From 2024-12-28 07:00 → SoC 0.0% → 0.0% during SELL
26,2024-12-28 09:00,2024-12-28 15:00,CHARGE,1.99,0.0,0.01,13.24,0.0,66.2,From 2024-12-28 09:00 to 2024-12-28 15:00 → CHARGE at ~1.99 MW,From 2024-12-28 09:00 → SoC 0.0% → 66.2% during CHARGE
27,2024-12-28 16:00,2024-12-28 16:00,SELL,0.0,0.0,13.24,13.24,66.2,66.2,From 2024-12-28 16:00 to 2024-12-28 16:00 → SELL at ~0.0 MW,From 2024-12-28 16:00 → SoC 66.2% → 66.2% during SELL
28,2024-12-28 17:00,2024-12-28 23:00,DISCHARGE,0.0,1.8,13.24,0.01,66.2,0.0,From 2024-12-28 17:00 to 2024-12-28 23:00 → DISCHARGE at ~1.8 MW,From 2024-12-28 17:00 → SoC 66.2% → 0.0% during DISCHARGE
29,2024-12-29 00:00,2024-12-29 06:00,HOLD,0.0,0.0,0.01,0.01,0.0,0.0,From 2024-12-29 00:00 to 2024-12-29 06:00 → HOLD at ~0.0 MW,From 2024-12-29 00:00 → SoC 0.0% → 0.0% during HOLD
30,2024-12-29 07:00,2024-12-29 08:00,SELL,0.0,0.0,0.01,0.01,0.0,0.0,From 2024-12-29 07:00 to 2024-12-29 08:00 → SELL at ~0.0 MW,From 2024-12-29 07:00 → SoC 0.0% → 0.0% during SELL
31,2024-12-29 09:00,2024-12-29 16:00,CHARGE,1.91,0.0,0.01,14.51,0.0,72.5,From 2024-12-29 09:00 to 2024-12-29 16:00 → CHARGE at ~1.91 MW,From 2024-12-29 09:00 → SoC 0.0% → 72.5% during CHARGE
32,2024-12-29 17:00,2024-12-29 23:00,DISCHARGE,0.0,1.97,14.51,0.01,72.5,0.1,From 2024-12-29 17:00 to 2024-12-29 23:00 → DISCHARGE at ~1.97 MW,From 2024-12-29 17:00 → SoC 72.5% → 0.1% during DISCHARGE
