action_block,start_time,end_time,action,avg_charge,avg_discharge,soc_start,soc_end,soc_pct_start,soc_pct_end,MW_instruction,SOC_instruction
1,2024-12-23 00:00,2024-12-23 06:00,HOLD,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-23 00:00 to 2024-12-23 06:00 → HOLD at ~0.0 MW,From 2024-12-23 00:00 → SoC 0.0% → 0.0% during HOLD
2,2024-12-23 07:00,2024-12-23 08:00,SELL,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-23 07:00 to 2024-12-23 08:00 → SELL at ~0.0 MW,From 2024-12-23 07:00 → SoC 0.0% → 0.0% during SELL
3,2024-12-23 09:00,2024-12-23 16:00,CHARGE,1.7,0.0,0.0,12.95,0.0,64.7,From 2024-12-23 09:00 to 2024-12-23 16:00 → CHARGE at ~1.7 MW,From 2024-12-23 09:00 → SoC 0.0% → 64.7% during CHARGE
4,2024-12-23 17:00,2024-12-23 22:00,DISCHARGE,0.0,2.05,12.95,0.0,64.7,0.0,From 2024-12-23 17:00 to 2024-12-23 22:00 → DISCHARGE at ~2.05 MW,From 2024-12-23 17:00 → SoC 64.7% → 0.0% during DISCHARGE
5,2024-12-23 23:00,2024-12-24 06:00,HOLD,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-23 23:00 to 2024-12-24 06:00 → HOLD at ~0.0 MW,From 2024-12-23 23:00 → SoC 0.0% → 0.0% during HOLD
6,2024-12-24 07:00,2024-12-24 09:00,SELL,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-24 07:00 to 2024-12-24 09:00 → SELL at ~0.0 MW,From 2024-12-24 07:00 → SoC 0.0% → 0.0% during SELL
7,2024-12-24 10:00,2024-12-24 15:00,CHARGE,1.46,0.0,0.0,8.32,0.0,41.6,From 2024-12-24 10:00 to 2024-12-24 15:00 → CHARGE at ~1.46 MW,From 2024-12-24 10:00 → SoC 0.0% → 41.6% during CHARGE
8,2024-12-24 16:00,2024-12-24 16:00,SELL,0.0,0.0,8.32,8.32,41.6,41.6,From 2024-12-24 16:00 to 2024-12-24 16:00 → SELL at ~0.0 MW,From 2024-12-24 16:00 → SoC 41.6% → 41.6% during SELL
9,2024-12-24 17:00,2024-12-24 23:00,DISCHARGE,0.0,1.13,8.32,0.01,41.6,0.0,From 2024-12-24 17:00 to 2024-12-24 23:00 → DISCHARGE at ~1.13 MW,From 2024-12-24 17:00 → SoC 41.6% → 0.0% during DISCHARGE
10,2024-12-25 00:00,2024-12-25 06:00,HOLD,0.0,0.0,0.01,0.01,0.0,0.0,From 2024-12-25 00:00 to 2024-12-25 06:00 → HOLD at ~0.0 MW,From 2024-12-25 00:00 → SoC 0.0% → 0.0% during HOLD
