action_block,start_time,end_time,action,avg_charge,avg_discharge,soc_start,soc_end,soc_pct_start,soc_pct_end,MW_instruction,SOC_instruction
1,2024-12-23 00:00,2024-12-23 06:00,HOLD,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-23 00:00 to 2024-12-23 06:00 → HOLD at ~0.0 MW,From 2024-12-23 00:00 → SoC 0.0% → 0.0% during HOLD
2,2024-12-23 07:00,2024-12-23 11:00,SELL,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-23 07:00 to 2024-12-23 11:00 → SELL at ~0.0 MW,From 2024-12-23 07:00 → SoC 0.0% → 0.0% during SELL
3,2024-12-23 12:00,2024-12-23 14:00,CHARGE,2.05,0.0,0.0,5.84,0.0,29.2,From 2024-12-23 12:00 to 2024-12-23 14:00 → CHARGE at ~2.05 MW,From 2024-12-23 12:00 → SoC 0.0% → 29.2% during CHARGE
4,2024-12-23 15:00,2024-12-23 16:00,SELL,0.0,0.0,5.84,5.84,29.2,29.2,From 2024-12-23 15:00 to 2024-12-23 16:00 → SELL at ~0.0 MW,From 2024-12-23 15:00 → SoC 29.2% → 29.2% during SELL
5,2024-12-23 17:00,2024-12-23 17:00,HOLD,0.0,0.0,5.84,5.84,29.2,29.2,From 2024-12-23 17:00 to 2024-12-23 17:00 → HOLD at ~0.0 MW,From 2024-12-23 17:00 → SoC 29.2% → 29.2% during HOLD
6,2024-12-23 18:00,2024-12-23 19:00,DISCHARGE,0.0,2.79,5.84,0.0,29.2,0.0,From 2024-12-23 18:00 to 2024-12-23 19:00 → DISCHARGE at ~2.79 MW,From 2024-12-23 18:00 → SoC 29.2% → 0.0% during DISCHARGE
7,2024-12-23 20:00,2024-12-24 06:00,HOLD,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-23 20:00 to 2024-12-24 06:00 → HOLD at ~0.0 MW,From 2024-12-23 20:00 → SoC 0.0% → 0.0% during HOLD
8,2024-12-24 07:00,2024-12-24 12:00,SELL,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-24 07:00 to 2024-12-24 12:00 → SELL at ~0.0 MW,From 2024-12-24 07:00 → SoC 0.0% → 0.0% during SELL
9,2024-12-24 13:00,2024-12-24 15:00,CHARGE,1.53,0.0,0.0,4.36,0.0,21.8,From 2024-12-24 13:00 to 2024-12-24 15:00 → CHARGE at ~1.53 MW,From 2024-12-24 13:00 → SoC 0.0% → 21.8% during CHARGE
10,2024-12-24 16:00,2024-12-24 16:00,SELL,0.0,0.0,4.36,4.36,21.8,21.8,From 2024-12-24 16:00 to 2024-12-24 16:00 → SELL at ~0.0 MW,From 2024-12-24 16:00 → SoC 21.8% → 21.8% during SELL
11,2024-12-24 17:00,2024-12-24 23:00,HOLD,0.0,0.0,4.36,4.36,21.8,21.8,From 2024-12-24 17:00 to 2024-12-24 23:00 → HOLD at ~0.0 MW,From 2024-12-24 17:00 → SoC 21.8% → 21.8% during HOLD
12,2024-12-25 00:00,2024-12-25 00:00,DISCHARGE,0.0,4.33,4.36,0.0,21.8,0.0,From 2024-12-25 00:00 to 2024-12-25 00:00 → DISCHARGE at ~4.33 MW,From 2024-12-25 00:00 → SoC 21.8% → 0.0% during DISCHARGE
13,2024-12-25 01:00,2024-12-25 06:00,HOLD,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-25 01:00 to 2024-12-25 06:00 → HOLD at ~0.0 MW,From 2024-12-25 01:00 → SoC 0.0% → 0.0% during HOLD
14,2024-12-25 07:00,2024-12-25 11:00,SELL,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-25 07:00 to 2024-12-25 11:00 → SELL at ~0.0 MW,From 2024-12-25 07:00 → SoC 0.0% → 0.0% during SELL
15,2024-12-25 12:00,2024-12-25 14:00,CHARGE,2.15,0.0,0.0,6.14,0.0,30.7,From 2024-12-25 12:00 to 2024-12-25 14:00 → CHARGE at ~2.15 MW,From 2024-12-25 12:00 → SoC 0.0% → 30.7% during CHARGE
16,2024-12-25 15:00,2024-12-25 16:00,SELL,0.0,0.0,6.14,6.14,30.7,30.7,From 2024-12-25 15:00 to 2024-12-25 16:00 → SELL at ~0.0 MW,From 2024-12-25 15:00 → SoC 30.7% → 30.7% during SELL
17,2024-12-25 17:00,2024-12-25 17:00,HOLD,0.0,0.0,6.14,6.14,30.7,30.7,From 2024-12-25 17:00 to 2024-12-25 17:00 → HOLD at ~0.0 MW,From 2024-12-25 17:00 → SoC 30.7% → 30.7% during HOLD
18,2024-12-25 18:00,2024-12-25 19:00,DISCHARGE,0.0,2.82,6.14,0.19,30.7,0.9,From 2024-12-25 18:00 to 2024-12-25 19:00 → DISCHARGE at ~2.82 MW,From 2024-12-25 18:00 → SoC 30.7% → 0.9% during DISCHARGE
19,2024-12-25 20:00,2024-12-26 06:00,HOLD,0.0,0.0,0.19,0.19,0.9,0.9,From 2024-12-25 20:00 to 2024-12-26 06:00 → HOLD at ~0.0 MW,From 2024-12-25 20:00 → SoC 0.9% → 0.9% during HOLD
20,2024-12-26 07:00,2024-12-26 12:00,SELL,0.0,0.0,0.19,0.19,0.9,0.9,From 2024-12-26 07:00 to 2024-12-26 12:00 → SELL at ~0.0 MW,From 2024-12-26 07:00 → SoC 0.9% → 0.9% during SELL
21,2024-12-26 13:00,2024-12-26 15:00,CHARGE,1.71,0.0,0.19,5.06,0.9,25.3,From 2024-12-26 13:00 to 2024-12-26 15:00 → CHARGE at ~1.71 MW,From 2024-12-26 13:00 → SoC 0.9% → 25.3% during CHARGE
22,2024-12-26 16:00,2024-12-26 16:00,SELL,0.0,0.0,5.06,5.06,25.3,25.3,From 2024-12-26 16:00 to 2024-12-26 16:00 → SELL at ~0.0 MW,From 2024-12-26 16:00 → SoC 25.3% → 25.3% during SELL
23,2024-12-26 17:00,2024-12-26 17:00,HOLD,0.0,0.0,5.06,5.06,25.3,25.3,From 2024-12-26 17:00 to 2024-12-26 17:00 → HOLD at ~0.0 MW,From 2024-12-26 17:00 → SoC 25.3% → 25.3% during HOLD
24,2024-12-26 18:00,2024-12-26 18:00,DISCHARGE,0.0,4.84,5.06,0.0,25.3,0.0,From 2024-12-26 18:00 to 2024-12-26 18:00 → DISCHARGE at ~4.84 MW,From 2024-12-26 18:00 → SoC 25.3% → 0.0% during DISCHARGE
25,2024-12-26 19:00,2024-12-27 06:00,HOLD,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-26 19:00 to 2024-12-27 06:00 → HOLD at ~0.0 MW,From 2024-12-26 19:00 → SoC 0.0% → 0.0% during HOLD
26,2024-12-27 07:00,2024-12-27 11:00,SELL,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-27 07:00 to 2024-12-27 11:00 → SELL at ~0.0 MW,From 2024-12-27 07:00 → SoC 0.0% → 0.0% during SELL
27,2024-12-27 12:00,2024-12-27 14:00,CHARGE,1.8,0.0,0.0,5.12,0.0,25.6,From 2024-12-27 12:00 to 2024-12-27 14:00 → CHARGE at ~1.8 MW,From 2024-12-27 12:00 → SoC 0.0% → 25.6% during CHARGE
28,2024-12-27 15:00,2024-12-27 16:00,SELL,0.0,0.0,5.12,5.12,25.6,25.6,From 2024-12-27 15:00 to 2024-12-27 16:00 → SELL at ~0.0 MW,From 2024-12-27 15:00 → SoC 25.6% → 25.6% during SELL
29,2024-12-27 17:00,2024-12-27 18:00,HOLD,0.0,0.0,5.12,5.12,25.6,25.6,From 2024-12-27 17:00 to 2024-12-27 18:00 → HOLD at ~0.0 MW,From 2024-12-27 17:00 → SoC 25.6% → 25.6% during HOLD
30,2024-12-27 19:00,2024-12-27 19:00,DISCHARGE,0.0,4.87,5.12,0.0,25.6,0.0,From 2024-12-27 19:00 to 2024-12-27 19:00 → DISCHARGE at ~4.87 MW,From 2024-12-27 19:00 → SoC 25.6% → 0.0% during DISCHARGE
31,2024-12-27 20:00,2024-12-28 06:00,HOLD,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-27 20:00 to 2024-12-28 06:00 → HOLD at ~0.0 MW,From 2024-12-27 20:00 → SoC 0.0% → 0.0% during HOLD
32,2024-12-28 07:00,2024-12-28 09:00,SELL,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-28 07:00 to 2024-12-28 09:00 → SELL at ~0.0 MW,From 2024-12-28 07:00 → SoC 0.0% → 0.0% during SELL
33,2024-12-28 10:00,2024-12-28 10:00,CHARGE,1.97,0.0,0.0,1.87,0.0,9.4,From 2024-12-28 10:00 to 2024-12-28 10:00 → CHARGE at ~1.97 MW,From 2024-12-28 10:00 → SoC 0.0% → 9.4% during CHARGE
34,2024-12-28 11:00,2024-12-28 12:00,SELL,0.0,0.0,1.87,1.87,9.4,9.4,From 2024-12-28 11:00 to 2024-12-28 12:00 → SELL at ~0.0 MW,From 2024-12-28 11:00 → SoC 9.4% → 9.4% during SELL
35,2024-12-28 13:00,2024-12-28 14:00,CHARGE,1.9,0.0,1.87,5.47,9.4,27.4,From 2024-12-28 13:00 to 2024-12-28 14:00 → CHARGE at ~1.9 MW,From 2024-12-28 13:00 → SoC 9.4% → 27.4% during CHARGE
36,2024-12-28 15:00,2024-12-28 16:00,SELL,0.0,0.0,5.47,5.47,27.4,27.4,From 2024-12-28 15:00 to 2024-12-28 16:00 → SELL at ~0.0 MW,From 2024-12-28 15:00 → SoC 27.4% → 27.4% during SELL
37,2024-12-28 17:00,2024-12-28 17:00,HOLD,0.0,0.0,5.47,5.47,27.4,27.4,From 2024-12-28 17:00 to 2024-12-28 17:00 → HOLD at ~0.0 MW,From 2024-12-28 17:00 → SoC 27.4% → 27.4% during HOLD
38,2024-12-28 18:00,2024-12-28 18:00,DISCHARGE,0.0,5.0,5.47,0.21,27.4,1.0,From 2024-12-28 18:00 to 2024-12-28 18:00 → DISCHARGE at ~5.0 MW,From 2024-12-28 18:00 → SoC 27.4% → 1.0% during DISCHARGE
39,2024-12-28 19:00,2024-12-29 06:00,HOLD,0.0,0.0,0.21,0.21,1.0,1.0,From 2024-12-28 19:00 to 2024-12-29 06:00 → HOLD at ~0.0 MW,From 2024-12-28 19:00 → SoC 1.0% → 1.0% during HOLD
40,2024-12-29 07:00,2024-12-29 12:00,SELL,0.0,0.0,0.21,0.21,1.0,1.0,From 2024-12-29 07:00 to 2024-12-29 12:00 → SELL at ~0.0 MW,From 2024-12-29 07:00 → SoC 1.0% → 1.0% during SELL
41,2024-12-29 13:00,2024-12-29 15:00,CHARGE,1.71,0.0,0.21,5.08,1.0,25.4,From 2024-12-29 13:00 to 2024-12-29 15:00 → CHARGE at ~1.71 MW,From 2024-12-29 13:00 → SoC 1.0% → 25.4% during CHARGE
42,2024-12-29 16:00,2024-12-29 16:00,SELL,0.0,0.0,5.08,5.08,25.4,25.4,From 2024-12-29 16:00 to 2024-12-29 16:00 → SELL at ~0.0 MW,From 2024-12-29 16:00 → SoC 25.4% → 25.4% during SELL
43,2024-12-29 17:00,2024-12-29 17:00,HOLD,0.0,0.0,5.08,5.08,25.4,25.4,From 2024-12-29 17:00 to 2024-12-29 17:00 → HOLD at ~0.0 MW,From 2024-12-29 17:00 → SoC 25.4% → 25.4% during HOLD
44,2024-12-29 18:00,2024-12-29 18:00,DISCHARGE,0.0,4.83,5.08,0.0,25.4,0.0,From 2024-12-29 18:00 to 2024-12-29 18:00 → DISCHARGE at ~4.83 MW,From 2024-12-29 18:00 → SoC 25.4% → 0.0% during DISCHARGE
45,2024-12-29 19:00,2024-12-29 23:00,HOLD,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-29 19:00 to 2024-12-29 23:00 → HOLD at ~0.0 MW,From 2024-12-29 19:00 → SoC 0.0% → 0.0% during HOLD
